committee_id,committee_name,candidate_id,candidate_name,candidate_office,candidate_district,candidate_state,beginning_image_number,calculated_candidate_share,communication_date,public_distribution_date,disbursement_date,disbursement_amount,purpose_description,report_year,file_number,amendment_indicator,receipt_date,payee_name,payee_state,sb_image_num,sub_id,link_id,sb_link_id,number_of_candidates,pdf_url
C30002679,45COMMITTEE INC.,,,,,,201804229111719389,48017.00,2018-04-21 00:00:00,2018-04-21 00:00:00,2018-04-20 00:00:00,48017.00,MEDIA PLACEMENT,2018,1226989,N,2018-04-22 00:00:00,MENTZER MEDIA SERVICES,MD,201804229111719391,4042720181530552465,4042320181526311852,4042720181530492452,1,https://docquery.fec.gov/cgi-bin/fecimg/?201804229111719391
C30002679,45COMMITTEE INC.,,,,,,201804229111719389,8661.84,2018-04-21 00:00:00,2018-04-21 00:00:00,2018-04-20 00:00:00,8661.84,MEDIA PRODUCTION,2018,1226989,N,2018-04-22 00:00:00,MCCARTHY HENNINGS WHALEN,DC,201804229111719391,4042720181530552466,4042320181526311852,4042720181530492454,1,https://docquery.fec.gov/cgi-bin/fecimg/?201804229111719391
C30002430,AMERICAN CHEMISTRY COUNCIL INC,,,,,,201806299115200468,147465.00,2018-06-06 00:00:00,2018-06-06 00:00:00,2018-06-06 00:00:00,147465.00,TELEVISION ADVERTISEMENT: CONSERVATIVE VALUES,2018,1241086,N,2018-06-29 00:00:00,REVOLUTION AGENCY,VA,201806299115200470,4070220181575265067,4062920181575247764,4070220181575264034,1,https://docquery.fec.gov/cgi-bin/fecimg/?201806299115200470
C30002430,AMERICAN CHEMISTRY COUNCIL INC,,,,,,201806299115200468,269121.00,2018-06-06 00:00:00,2018-06-06 00:00:00,2018-06-06 00:00:00,269121.00,TELEVISION ADVERTISEMENT: MISSISSIPPI FIRST,2018,1241086,N,2018-06-29 00:00:00,REVOLUATION AGENCY,VA,201806299115200470,4070220181575265068,4062920181575247764,4070220181575264035,1,https://docquery.fec.gov/cgi-bin/fecimg/?201806299115200470
C30002828,FUSE WASHINGTON,H4WA05077,"MCMORRIS RODGERS, CATHY",H,05,WA,201808109119386979,11.75,2018-08-08 00:00:00,2018-08-08 00:00:00,2018-08-08 00:00:00,11.75,DIGITAL ADVERTISING/OPPOSE,2018,1255350,N,2018-08-09 00:00:00,FACEBOOK,CA,201808109119386982,4081020181583129706,4081020181583115568,4081020181583126877,1,https://docquery.fec.gov/cgi-bin/fecimg/?201808109119386982
C30002430,AMERICAN CHEMISTRY COUNCIL INC,,,,,,201806299115200468,348400.00,2018-06-06 00:00:00,2018-06-06 00:00:00,2018-06-06 00:00:00,348400.00,TELEVISION ADVERTISEMENT: STANDING UP FOR NEVADA,2018,1241086,N,2018-06-29 00:00:00,REVOLUTION AGENCY,VA,201806299115200471,4070220181575265069,4062920181575247764,4070220181575264036,1,https://docquery.fec.gov/cgi-bin/fecimg/?201806299115200471
C30002430,AMERICAN CHEMISTRY COUNCIL INC,,,,,,201807029115209019,133534.50,2018-06-30 00:00:00,2018-06-30 00:00:00,2018-06-30 00:00:00,133534.50,TELEVISION ADVERTISEMENT: STANDING FOR KANSAS,2018,1241306,A,2018-07-02 00:00:00,REVOLUTION AGENCY,VA,201807029115209021,4070220181575265070,4070220181575254104,4070220181575264986,1,https://docquery.fec.gov/cgi-bin/fecimg/?201807029115209021
C30002802,MAJORITY FORWARD,,,,,,201807309119329139,2754571.05,2018-07-26 00:00:00,2018-07-26 00:00:00,2018-07-26 00:00:00,2754571.05,MEDIA BUY AND PRODUCTION COSTS - ESTIMATE FOR VETOED,2018,1253412,N,2018-07-27 00:00:00,WATERFRONT STRATEGIES,DC,201807309119329141,4073120181582233360,4073020181577780984,4073120181582230569,1,https://docquery.fec.gov/cgi-bin/fecimg/?201807309119329141
C30000269,CLUB FOR GROWTH.NET,S8NM00167,,,,,28039733990,61382.00,2008-05-22 00:00:00,2008-05-22 00:00:00,2008-05-21 00:00:00,184146.00,,2008,,N,2008-05-23 00:00:00,RED SEA LLC,MD,28039733994,1052720080000609498,1052320080000609380,1052720080000609499,3,https://docquery.fec.gov/cgi-bin/fecimg/?28039733994
C30000954,ENVIRONMENTAL DEFENSE ACTION FUND,S8CA05035,,,,,28039741848,1046.00,2008-05-29 00:00:00,2008-05-29 00:00:00,2008-05-15 00:00:00,2092.00,,2008,,N,2008-06-02 00:00:00,MMB,MA,28039741851,1060420080000612915,1060320080000612778,1060420080000612916,2,https://docquery.fec.gov/cgi-bin/fecimg/?28039741851
C30002851,AMERICAN BANKERS ASSOCIATION,,,,,,202012039337690666,1000000.00,2020-12-03 00:00:00,2020-12-03 00:00:00,2020-12-03 00:00:00,1000000.00,PERDUE ELECTIONEERING COMMUNICATION - TV,2020,1477872,N,2020-12-03 00:00:00,REVOLUTION MEDIA GROUP,VA,202012039337690668,4121820201978203152,4120420201963428148,4121820201977607367,1,https://docquery.fec.gov/cgi-bin/fecimg/?202012039337690668
C30003222,DREAMS IN ACTION NM,,,,,,202010209297366611,30.00,2020-10-17 00:00:00,2020-10-17 00:00:00,2020-10-17 00:00:00,30.00,CANVASSING,2020,1457223,N,2020-10-20 00:00:00,"ESCOBEDO, JONATHAN",NM,202010209297366612,4120920201967747149,4102120201882235148,4120920201967673165,1,https://docquery.fec.gov/cgi-bin/fecimg/?202010209297366612
C30003222,DREAMS IN ACTION NM,,,,,,202010209297366611,30.00,2020-10-17 00:00:00,2020-10-17 00:00:00,2020-10-17 00:00:00,30.00,CANVASSING,2020,1457223,N,2020-10-20 00:00:00,"ESCOBEDO, JONATHAN",NM,202010209297366612,4120920201967747150,4102120201882235148,4120920201967673166,1,https://docquery.fec.gov/cgi-bin/fecimg/?202010209297366612
C30003222,DREAMS IN ACTION NM,,,,,,202010209297366611,30.00,2020-10-18 00:00:00,2020-10-17 00:00:00,2020-10-18 00:00:00,30.00,CANVASSING,2020,1457223,N,2020-10-20 00:00:00,"ESCOBEDO, JONATHAN",NM,202010209297366613,4120920201967747151,4102120201882235148,4120920201967673167,1,https://docquery.fec.gov/cgi-bin/fecimg/?202010209297366613
C30002828,FUSE WASHINGTON,H4WA05077,"MCMORRIS RODGERS, CATHY",H,05,WA,201808109119386979,401.38,2018-08-08 00:00:00,2018-08-08 00:00:00,2018-08-08 00:00:00,401.38,STAFFING SERVICES/OPPOSE,2018,1255350,N,2018-08-09 00:00:00,FUSE WASHINGTON,WA,201808109119386981,4081020181583129704,4081020181583115568,4081020181583126873,1,https://docquery.fec.gov/cgi-bin/fecimg/?201808109119386981
C30002893,WINNING FOR WOMEN INC.,H4WA05077,"MCMORRIS RODGERS, CATHY",H,05,WA,201810189125624890,945.00,2018-10-11 00:00:00,2018-10-11 00:00:00,2018-10-18 00:00:00,945.00,BROADCAST COMMUNICATION - HYDROPOWER,2018,1274866,A,2018-10-18 00:00:00,FP1 STRATEGIES LLC,VA,201810189125624893,4111320181617583729,4101820181599551123,4111320181617313820,1,https://docquery.fec.gov/cgi-bin/fecimg/?201810189125624893
C30002893,WINNING FOR WOMEN INC.,H4WA05077,"MCMORRIS RODGERS, CATHY",H,05,WA,201810189125624890,10000.00,2018-10-11 00:00:00,2018-10-11 00:00:00,2018-10-12 00:00:00,10000.00,BROADCAST COMMUNICATION - HYDROPOWER,2018,1274866,A,2018-10-18 00:00:00,FP1 STRATEGIES LLC,VA,201810189125624892,4111320181617583728,4101820181599551123,4111320181617313818,1,https://docquery.fec.gov/cgi-bin/fecimg/?201810189125624892
C30002893,WINNING FOR WOMEN INC.,H4WA05077,"MCMORRIS RODGERS, CATHY",H,05,WA,201810189125624890,180540.00,2018-10-11 00:00:00,2018-10-11 00:00:00,2018-09-28 00:00:00,180540.00,BROADCAST COMMUNICATION - HYDROPOWER,2018,1274866,A,2018-10-18 00:00:00,NEBO MEDIA,VA,201810189125624892,4111320181617583727,4101820181599551123,4111320181617313816,1,https://docquery.fec.gov/cgi-bin/fecimg/?201810189125624892
C30002828,FUSE WASHINGTON,H4WA05077,"MCMORRIS RODGERS, CATHY",H,05,WA,201809109121659487,80.17,2018-09-06 00:00:00,2018-09-06 00:00:00,2018-09-06 00:00:00,80.17,STAFFING SERVICES/YOUR FALL EMAIL/OPPOSE,2018,1260578,N,2018-09-07 00:00:00,FUSE WASHINGTON,WA,201809109121659489,4091020181590880106,4091020181590871072,4091020181590878185,1,https://docquery.fec.gov/cgi-bin/fecimg/?201809109121659489
C30002828,FUSE WASHINGTON,H4WA05077,"MCMORRIS RODGERS, CATHY",H,05,WA,201808139119602212,93.15,2018-08-10 00:00:00,2018-08-10 00:00:00,2018-08-10 00:00:00,93.15,STAFFING SERVICES/OPPOSE,2018,1255683,N,2018-08-11 00:00:00,FUSE WASHINGTON,WA,201808139119602215,4081320181583803272,4081320181583163967,4081320181583179699,1,https://docquery.fec.gov/cgi-bin/fecimg/?201808139119602215
C30002828,FUSE WASHINGTON,H4WA05077,"MCMORRIS RODGERS, CATHY",H,05,WA,201808139119602212,64.27,2018-08-10 00:00:00,2018-08-10 00:00:00,2018-08-10 00:00:00,64.27,DIGITAL ADVERTISING/OPPOSE,2018,1255683,N,2018-08-11 00:00:00,FACEBOOK,CA,201808139119602214,4081320181583803270,4081320181583163967,4081320181583179695,1,https://docquery.fec.gov/cgi-bin/fecimg/?201808139119602214
C30003222,DREAMS IN ACTION NM,,,,,,202010209297366611,30.00,2020-10-18 00:00:00,2020-10-17 00:00:00,2020-10-18 00:00:00,30.00,CANVASSING,2020,1457223,N,2020-10-20 00:00:00,"ESCOBEDO, JONATHAN",NM,202010209297366613,4120920201967747152,4102120201882235148,4120920201967673168,1,https://docquery.fec.gov/cgi-bin/fecimg/?202010209297366613
C30003222,DREAMS IN ACTION NM,,,,,,202010209297366611,30.00,2020-10-17 00:00:00,2020-10-17 00:00:00,2020-10-17 00:00:00,60.00,CANVASSING,2020,1457223,N,2020-10-20 00:00:00,"LOEZA, DAVID",NM,202010209297366614,4120920201967747153,4102120201882235148,4120920201967673169,2,https://docquery.fec.gov/cgi-bin/fecimg/?202010209297366614
C30003222,DREAMS IN ACTION NM,,,,,,202010209297366611,30.00,2020-10-17 00:00:00,2020-10-17 00:00:00,2020-10-17 00:00:00,60.00,CANVASSING,2020,1457223,N,2020-10-20 00:00:00,"LOEZA, DAVID",NM,202010209297366614,4120920201967747154,4102120201882235148,4120920201967673169,2,https://docquery.fec.gov/cgi-bin/fecimg/?202010209297366614
C30003222,DREAMS IN ACTION NM,,,,,,202010209297366611,30.00,2020-10-18 00:00:00,2020-10-17 00:00:00,2020-10-18 00:00:00,60.00,CANVASSING,2020,1457223,N,2020-10-20 00:00:00,"LOEZA, DAVID",NM,202010209297366614,4120920201967747155,4102120201882235148,4120920201967673170,2,https://docquery.fec.gov/cgi-bin/fecimg/?202010209297366614
C30003222,DREAMS IN ACTION NM,,,,,,202010209297366611,30.00,2020-10-18 00:00:00,2020-10-17 00:00:00,2020-10-18 00:00:00,60.00,CANVASSING,2020,1457223,N,2020-10-20 00:00:00,"LOEZA, DAVID",NM,202010209297366614,4120920201967747156,4102120201882235148,4120920201967673170,2,https://docquery.fec.gov/cgi-bin/fecimg/?202010209297366614
C30003222,DREAMS IN ACTION NM,,,,,,202010209297366611,30.00,2020-10-17 00:00:00,2020-10-17 00:00:00,2020-10-17 00:00:00,60.00,CANVASSING,2020,1457223,N,2020-10-20 00:00:00,"NAVARRETE, GABRIEL",NM,202010209297366615,4120920201967747157,4102120201882235148,4120920201967673171,2,https://docquery.fec.gov/cgi-bin/fecimg/?202010209297366615
C30003222,DREAMS IN ACTION NM,,,,,,202010209297366611,30.00,2020-10-17 00:00:00,2020-10-17 00:00:00,2020-10-17 00:00:00,60.00,CANVASSING,2020,1457223,N,2020-10-20 00:00:00,"NAVARRETE, GABRIEL",NM,202010209297366615,4120920201967747158,4102120201882235148,4120920201967673171,2,https://docquery.fec.gov/cgi-bin/fecimg/?202010209297366615
C30003222,DREAMS IN ACTION NM,,,,,,202010209297366611,30.00,2020-10-18 00:00:00,2020-10-17 00:00:00,2020-10-18 00:00:00,60.00,CANVASSING,2020,1457223,N,2020-10-20 00:00:00,"NAVARRETE, GABRIEL",NM,202010209297366615,4120920201967747159,4102120201882235148,4120920201967673172,2,https://docquery.fec.gov/cgi-bin/fecimg/?202010209297366615
C30003222,DREAMS IN ACTION NM,,,,,,202010209297366611,30.00,2020-10-18 00:00:00,2020-10-17 00:00:00,2020-10-18 00:00:00,60.00,CANVASSING,2020,1457223,N,2020-10-20 00:00:00,"NAVARRETE, GABRIEL",NM,202010209297366615,4120920201967747160,4102120201882235148,4120920201967673172,2,https://docquery.fec.gov/cgi-bin/fecimg/?202010209297366615
C30003222,DREAMS IN ACTION NM,,,,,,202010209297366611,30.00,2020-10-17 00:00:00,2020-10-17 00:00:00,2020-10-17 00:00:00,60.00,CANVASSING,2020,1457223,N,2020-10-20 00:00:00,"MARTINEZ, MIDI",NM,202010209297366616,4120920201967747161,4102120201882235148,4120920201967673173,2,https://docquery.fec.gov/cgi-bin/fecimg/?202010209297366616
C30003222,DREAMS IN ACTION NM,,,,,,202010209297366611,30.00,2020-10-17 00:00:00,2020-10-17 00:00:00,2020-10-17 00:00:00,60.00,CANVASSING,2020,1457223,N,2020-10-20 00:00:00,"MARTINEZ, MIDI",NM,202010209297366616,4120920201967747162,4102120201882235148,4120920201967673173,2,https://docquery.fec.gov/cgi-bin/fecimg/?202010209297366616
C30003222,DREAMS IN ACTION NM,,,,,,202010209297366611,30.00,2020-10-18 00:00:00,2020-10-17 00:00:00,2020-10-18 00:00:00,60.00,CANVASSING,2020,1457223,N,2020-10-20 00:00:00,"MARTINEZ, MIDI",NM,202010209297366616,4120920201967747163,4102120201882235148,4120920201967673174,2,https://docquery.fec.gov/cgi-bin/fecimg/?202010209297366616
C30003222,DREAMS IN ACTION NM,,,,,,202010209297366611,30.00,2020-10-18 00:00:00,2020-10-17 00:00:00,2020-10-18 00:00:00,60.00,CANVASSING,2020,1457223,N,2020-10-20 00:00:00,"MARTINEZ, MIDI",NM,202010209297366616,4120920201967747164,4102120201882235148,4120920201967673174,2,https://docquery.fec.gov/cgi-bin/fecimg/?202010209297366616
C30003222,DREAMS IN ACTION NM,,,,,,202010209297366611,30.00,2020-10-17 00:00:00,2020-10-17 00:00:00,2020-10-17 00:00:00,60.00,CANVASSING,2020,1457223,N,2020-10-20 00:00:00,"MARTINEZ, KIMBERLY",NM,202010209297366617,4120920201967747165,4102120201882235148,4120920201967673175,2,https://docquery.fec.gov/cgi-bin/fecimg/?202010209297366617
C30003222,DREAMS IN ACTION NM,,,,,,202010209297366611,30.00,2020-10-17 00:00:00,2020-10-17 00:00:00,2020-10-17 00:00:00,60.00,CANVASSING,2020,1457223,N,2020-10-20 00:00:00,"MARTINEZ, KIMBERLY",NM,202010209297366617,4120920201967747166,4102120201882235148,4120920201967673175,2,https://docquery.fec.gov/cgi-bin/fecimg/?202010209297366617
C30003222,DREAMS IN ACTION NM,,,,,,202010209297366611,30.00,2020-10-18 00:00:00,2020-10-17 00:00:00,2020-10-18 00:00:00,60.00,CANVASSING,2020,1457223,N,2020-10-20 00:00:00,"MARTINEZ, KIMBERLY",NM,202010209297366617,4120920201967747167,4102120201882235148,4120920201967673176,2,https://docquery.fec.gov/cgi-bin/fecimg/?202010209297366617
C30003222,DREAMS IN ACTION NM,,,,,,202010209297366611,30.00,2020-10-18 00:00:00,2020-10-17 00:00:00,2020-10-18 00:00:00,60.00,CANVASSING,2020,1457223,N,2020-10-20 00:00:00,"MARTINEZ, KIMBERLY",NM,202010209297366617,4120920201967747168,4102120201882235148,4120920201967673176,2,https://docquery.fec.gov/cgi-bin/fecimg/?202010209297366617
C30003222,DREAMS IN ACTION NM,,,,,,202010209297366611,30.00,2020-10-17 00:00:00,2020-10-17 00:00:00,2020-10-17 00:00:00,60.00,CANVASSING,2020,1457223,N,2020-10-20 00:00:00,"MARTINEZ, MAYRA",NM,202010209297366618,4120920201967747169,4102120201882235148,4120920201967673177,2,https://docquery.fec.gov/cgi-bin/fecimg/?202010209297366618
C30003222,DREAMS IN ACTION NM,,,,,,202010209297366611,30.00,2020-10-17 00:00:00,2020-10-17 00:00:00,2020-10-17 00:00:00,60.00,CANVASSING,2020,1457223,N,2020-10-20 00:00:00,"MARTINEZ, MAYRA",NM,202010209297366618,4120920201967747170,4102120201882235148,4120920201967673177,2,https://docquery.fec.gov/cgi-bin/fecimg/?202010209297366618
C30003222,DREAMS IN ACTION NM,,,,,,202010209297366611,30.00,2020-10-18 00:00:00,2020-10-17 00:00:00,2020-10-18 00:00:00,60.00,CANVASSING,2020,1457223,N,2020-10-20 00:00:00,"MARTINEZ, MAYRA",NM,202010209297366618,4120920201967747171,4102120201882235148,4120920201967673178,2,https://docquery.fec.gov/cgi-bin/fecimg/?202010209297366618
C30003222,DREAMS IN ACTION NM,,,,,,202010209297366611,30.00,2020-10-18 00:00:00,2020-10-17 00:00:00,2020-10-18 00:00:00,60.00,CANVASSING,2020,1457223,N,2020-10-20 00:00:00,"MARTINEZ, MAYRA",NM,202010209297366618,4120920201967747172,4102120201882235148,4120920201967673178,2,https://docquery.fec.gov/cgi-bin/fecimg/?202010209297366618
C30003222,DREAMS IN ACTION NM,,,,,,202010209297366611,30.00,2020-10-17 00:00:00,2020-10-17 00:00:00,2020-10-17 00:00:00,60.00,CANVASSING,2020,1457223,N,2020-10-20 00:00:00,"MARTINEZ, YELITZA",NM,202010209297366619,4120920201967747173,4102120201882235148,4120920201967673179,2,https://docquery.fec.gov/cgi-bin/fecimg/?202010209297366619
C30001101,US CHAMBER OF COMMERCE,H8NM02032,"TEAGUE, HARRY",H,02,NM,10931698430,197214.00,2010-10-20 00:00:00,,2010-10-15 00:00:00,197214.00,'COST' TV SPOT,2010,507965,N,2010-10-20 00:00:00,DMM MEDIA LLC,DC,10931698432,4102820101130922202,4102120101130592304,4102820101130921106,1,https://docquery.fec.gov/cgi-bin/fecimg/?10931698432
C30003222,DREAMS IN ACTION NM,,,,,,202010209297366611,30.00,2020-10-17 00:00:00,2020-10-17 00:00:00,2020-10-17 00:00:00,60.00,CANVASSING,2020,1457223,N,2020-10-20 00:00:00,"MARTINEZ, YELITZA",NM,202010209297366619,4120920201967747174,4102120201882235148,4120920201967673179,2,https://docquery.fec.gov/cgi-bin/fecimg/?202010209297366619
C30003222,DREAMS IN ACTION NM,,,,,,202010209297366611,30.00,2020-10-18 00:00:00,2020-10-17 00:00:00,2020-10-18 00:00:00,60.00,CANVASSING,2020,1457223,N,2020-10-20 00:00:00,"MARTINEZ, YELITZA",NM,202010209297366619,4120920201967747175,4102120201882235148,4120920201967673180,2,https://docquery.fec.gov/cgi-bin/fecimg/?202010209297366619
C30003222,DREAMS IN ACTION NM,,,,,,202010209297366611,30.00,2020-10-18 00:00:00,2020-10-17 00:00:00,2020-10-18 00:00:00,60.00,CANVASSING,2020,1457223,N,2020-10-20 00:00:00,"MARTINEZ, YELITZA",NM,202010209297366619,4120920201967747176,4102120201882235148,4120920201967673180,2,https://docquery.fec.gov/cgi-bin/fecimg/?202010209297366619
C30003222,DREAMS IN ACTION NM,,,,,,202010209297366611,30.00,2020-10-17 00:00:00,2020-10-17 00:00:00,2020-10-17 00:00:00,60.00,CANVASSING,2020,1457223,N,2020-10-20 00:00:00,"OZUNA, JENNIFER",NM,202010209297366620,4120920201967747177,4102120201882235148,4120920201967673181,2,https://docquery.fec.gov/cgi-bin/fecimg/?202010209297366620
C30003222,DREAMS IN ACTION NM,,,,,,202010209297366611,30.00,2020-10-17 00:00:00,2020-10-17 00:00:00,2020-10-17 00:00:00,60.00,CANVASSING,2020,1457223,N,2020-10-20 00:00:00,"OZUNA, JENNIFER",NM,202010209297366620,4120920201967747178,4102120201882235148,4120920201967673181,2,https://docquery.fec.gov/cgi-bin/fecimg/?202010209297366620
C30003222,DREAMS IN ACTION NM,,,,,,202010209297366611,30.00,2020-10-18 00:00:00,2020-10-17 00:00:00,2020-10-18 00:00:00,60.00,CANVASSING,2020,1457223,N,2020-10-20 00:00:00,"OZUNA, JENNIFER",NM,202010209297366620,4120920201967747179,4102120201882235148,4120920201967673182,2,https://docquery.fec.gov/cgi-bin/fecimg/?202010209297366620
C30003222,DREAMS IN ACTION NM,,,,,,202010209297366611,30.00,2020-10-18 00:00:00,2020-10-17 00:00:00,2020-10-18 00:00:00,60.00,CANVASSING,2020,1457223,N,2020-10-20 00:00:00,"OZUNA, JENNIFER",NM,202010209297366620,4120920201967747180,4102120201882235148,4120920201967673182,2,https://docquery.fec.gov/cgi-bin/fecimg/?202010209297366620
C30003222,DREAMS IN ACTION NM,,,,,,202010209297366611,30.00,2020-10-17 00:00:00,2020-10-17 00:00:00,2020-10-17 00:00:00,60.00,CANVASSING,2020,1457223,N,2020-10-20 00:00:00,"MARTINEZ, JIREH",NM,202010209297366621,4120920201967747181,4102120201882235148,4120920201967673183,2,https://docquery.fec.gov/cgi-bin/fecimg/?202010209297366621
C30003222,DREAMS IN ACTION NM,,,,,,202010209297366611,30.00,2020-10-17 00:00:00,2020-10-17 00:00:00,2020-10-17 00:00:00,60.00,CANVASSING,2020,1457223,N,2020-10-20 00:00:00,"MARTINEZ, JIREH",NM,202010209297366621,4120920201967747182,4102120201882235148,4120920201967673183,2,https://docquery.fec.gov/cgi-bin/fecimg/?202010209297366621
C30003222,DREAMS IN ACTION NM,,,,,,202010209297366611,30.00,2020-10-18 00:00:00,2020-10-17 00:00:00,2020-10-18 00:00:00,60.00,CANVASSING,2020,1457223,N,2020-10-20 00:00:00,"MARTINEZ, JIREH",NM,202010209297366621,4120920201967747183,4102120201882235148,4120920201967673184,2,https://docquery.fec.gov/cgi-bin/fecimg/?202010209297366621
C30003222,DREAMS IN ACTION NM,,,,,,202010209297366611,30.00,2020-10-18 00:00:00,2020-10-17 00:00:00,2020-10-18 00:00:00,60.00,CANVASSING,2020,1457223,N,2020-10-20 00:00:00,"MARTINEZ, JIREH",NM,202010209297366621,4120920201967747184,4102120201882235148,4120920201967673184,2,https://docquery.fec.gov/cgi-bin/fecimg/?202010209297366621
C30003222,DREAMS IN ACTION NM,,,,,,202010209297366611,30.00,2020-10-17 00:00:00,2020-10-17 00:00:00,2020-10-17 00:00:00,60.00,CANVASSING,2020,1457223,N,2020-10-20 00:00:00,"PEREZ, ERICK",NM,202010209297366622,4120920201967747185,4102120201882235148,4120920201967673185,2,https://docquery.fec.gov/cgi-bin/fecimg/?202010209297366622
C30003222,DREAMS IN ACTION NM,,,,,,202010209297366611,30.00,2020-10-17 00:00:00,2020-10-17 00:00:00,2020-10-17 00:00:00,60.00,CANVASSING,2020,1457223,N,2020-10-20 00:00:00,"PEREZ, ERICK",NM,202010209297366622,4120920201967747186,4102120201882235148,4120920201967673185,2,https://docquery.fec.gov/cgi-bin/fecimg/?202010209297366622
C30003222,DREAMS IN ACTION NM,,,,,,202010209297366611,30.00,2020-10-18 00:00:00,2020-10-17 00:00:00,2020-10-18 00:00:00,60.00,CANVASSING,2020,1457223,N,2020-10-20 00:00:00,"PEREZ, ERICK",NM,202010209297366622,4120920201967747187,4102120201882235148,4120920201967673186,2,https://docquery.fec.gov/cgi-bin/fecimg/?202010209297366622
C30003222,DREAMS IN ACTION NM,,,,,,202010209297366611,30.00,2020-10-18 00:00:00,2020-10-17 00:00:00,2020-10-18 00:00:00,60.00,CANVASSING,2020,1457223,N,2020-10-20 00:00:00,"PEREZ, ERICK",NM,202010209297366622,4120920201967747188,4102120201882235148,4120920201967673186,2,https://docquery.fec.gov/cgi-bin/fecimg/?202010209297366622
